Name;SamAccountName;UserPrincipalName;GivenName;Surname;Password;Description;Office;Email;Pager;JobTitle
John Smith;john.smith;john.smith@domain.com;John;Smith;Passw0rd;Escola-Eleva-Recife;Escola-Eleva-Recife;john.smith@domain.com;123456;Grade 1
Jane Doe;jane.doe;jane.doe@domain.com;Jane;Doe;Secret123;Escola-Eleva-Recife;Escola-Eleva-Recife;jane.doe@domain.com;789012;Grade 2
Carlos Santana;carlos.santana;carlos.santana@domain.com;Carlos;Santana;P@ssw0rd;Escola-Eleva-Recife;Escola-Eleva-Recife;carlos.santana@domain.com;789013;Grade 3
Maria Oliveira;maria.oliveira;maria.oliveira@domain.com;Maria;Oliveira;Hello123;Escola-Eleva-Recife;Escola-Eleva-Recife;maria.oliveira@domain.com;789014;Grade 4
Pedro Almeida;pedro.almeida;pedro.almeida@domain.com;Pedro;Almeida;1234Pass;Escola-Eleva-Recife;Escola-Eleva-Recife;pedro.almeida@domain.com;789015;Grade 5
Ana Silva;ana.silva;ana.silva@domain.com;Ana;Silva;Password;Escola-Eleva-Recife;Escola-Eleva-Recife;ana.silva@domain.com;789016;Grade 6
José Santos;jose.santos;jose.santos@domain.com;José;Santos;Secure123;Escola-Eleva-Recife;Escola-Eleva-Recife;jose.santos@domain.com;789012;Grade 7
Mariana Costa;mariana.costa;mariana.costa@domain.com;Mariana;Costa;P@ssword1;Escola-Eleva-Recife;Escola-Eleva-Recife;mariana.costa@domain.com;789013;Grade 8
Lucas Pereira;lucas.pereira;lucas.pereira@domain.com;Lucas;Pereira;P@ssword1;Escola-Eleva-Recife;Escola-Eleva-Recife;lucas.pereira@domain.com;789014;Grade 9
Ana Oliveira;ana.oliveira;ana.oliveira@domain.com;Ana;Oliveira;Hello2024;Escola-Eleva-Recife;Escola-Eleva-Recife;ana.oliveira@domain.com;789015;Kindergarten 1
Pedro Silva;pedro.silva;pedro.silva@domain.com;Pedro;Silva;Pa$$w0rd;Escola-Eleva-Recife;Escola-Eleva-Recife;pedro.silva@domain.com;789016;Kindergarten 2
Eduardo Lima;eduardo.lima;eduardo.lima@domain.com;Eduardo;Lima;Pass123!;Escola-Eleva-Recife;Escola-Eleva-Recife;eduardo.lima@domain.com;101112;Kindergarten 3
Isabela Santos;isabela.santos;isabela.santos@domain.com;Isabela;Santos;Password123;Escola-Eleva-Recife;Escola-Eleva-Recife;isabela.santos@domain.com;131415;Kindergarten 4
Gabriel Oliveira;gabriel.oliveira;gabriel.oliveira@domain.com;Gabriel;Oliveira;SecurePass!;Escola-Eleva-Recife;Escola-Eleva-Recife;gabriel.oliveira@domain.com;161718;Kindergarten 5
